date,departement,temperature,ensoleillement
2024-01-01,01,4.74,10134.73
2024-01-01,02,3.58,11605.18
2024-01-01,03,5.20,12946.06
2024-01-01,04,6.60,21480.47
2024-01-01,05,4.16,21448.89
2024-01-01,06,10.40,21191.78
2024-01-01,07,3.99,16276.95
2024-01-01,08,3.07,10172.57
2024-01-01,09,6.61,24489.78
2024-01-01,10,3.90,9086.68
2024-01-01,11,8.92,22407.36
2024-01-01,12,4.51,15354.64
2024-01-01,13,9.76,24521.90
2024-01-01,14,5.15,15223.10
2024-01-01,15,4.35,16303.76
2024-01-01,16,6.94,13756.35
2024-01-01,17,7.32,17473.81
2024-01-01,18,4.85,11932.95
2024-01-01,19,6.08,12614.82
2024-01-01,21,3.03,10522.59
2024-01-01,22,6.65,19698.16
2024-01-01,23,4.70,14394.91
2024-01-01,24,6.77,13340.04
2024-01-01,25,3.50,12047.69
2024-01-01,26,5.47,15742.89
2024-01-01,27,4.38,12852.12
2024-01-01,28,4.11,12976.20
2024-01-01,29,7.27,16257.81
2024-01-01,2A,10.87,22048.16
2024-01-01,2B,9.12,22487.09
2024-01-01,30,7.45,20736.23
2024-01-01,31,7.17,15359.54
2024-01-01,32,6.88,18469.46
2024-01-01,33,7.71,18297.56
2024-01-01,34,7.67,19491.41
2024-01-01,35,6.07,19412.44
2024-01-01,36,5.07,11506.83
2024-01-01,37,5.52,11876.37
2024-01-01,38,5.15,14143.74
2024-01-01,39,3.80,9893.51
2024-01-01,40,7.70,20649.24
2024-01-01,41,4.82,12856.13
2024-01-01,42,3.96,14321.19
2024-01-01,43,2.95,15388.25
2024-01-01,44,6.61,18730.27
2024-01-01,45,4.60,11611.45
2024-01-01,46,6.39,14604.29
2024-01-01,47,7.28,15402.69
2024-01-01,48,3.31,19911.73
2024-01-01,49,5.79,15045.81
2024-01-01,50,6.10,17923.30
2024-01-01,51,3.66,11625.71
2024-01-01,52,3.68,9678.58
2024-01-01,53,5.10,15972.77
2024-01-01,54,3.05,10354.12
2024-01-01,55,2.83,10402.64
2024-01-01,56,7.01,17574.16
2024-01-01,57,2.48,9330.09
2024-01-01,58,4.54,12196.26
2024-01-01,59,4.04,12653.62
2024-01-01,60,3.78,13634.77
2024-01-01,61,4.17,13365.34
2024-01-01,62,5.41,13224.54
2024-01-01,63,4.93,13988.80
2024-01-01,64,7.57,20868.24
2024-01-01,65,6.79,21347.87
2024-01-01,66,10.24,25150.13
2024-01-01,67,2.95,11188.98
2024-01-01,68,3.21,12801.57
2024-01-01,69,4.70,13190.52
2024-01-01,70,3.28,10248.23
2024-01-01,71,3.81,10750.47
2024-01-01,72,5.28,13606.35
2024-01-01,73,4.55,13662.08
2024-01-01,74,3.47,14137.22
2024-01-01,75,4.65,12106.86
2024-01-01,76,5.47,15421.74
2024-01-01,77,4.15,11987.05
2024-01-01,78,4.03,12455.23
2024-01-01,79,6.48,14075.04
2024-01-01,80,4.09,13482.55
2024-01-01,81,6.52,14704.25
2024-01-01,82,6.55,14400.31
2024-01-01,83,11.25,24986.86
2024-01-01,84,6.29,20465.37
2024-01-01,85,6.86,17838.71
2024-01-01,86,5.57,13507.97
2024-01-01,87,5.46,12931.56
2024-01-01,88,2.11,10813.66
2024-01-01,89,4.51,10298.97
2024-01-01,90,2.92,12346.36
2024-01-01,91,4.36,11316.30
2024-01-01,92,4.73,12511.52
2024-01-01,93,4.67,12592.15
2024-01-01,94,4.69,11641.45
2024-01-01,95,4.65,12989.48
2024-01-01,971,25.83,36276.81
2024-01-01,972,25.19,36974.56
2024-01-01,973,26.39,34145.36
2024-01-01,974,21.68,28545.16
2024-01-01,976,27.85,27463.01
